OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,High_level_taxonomy,HL_hit_percent_id,HL_hit_query_cover,Notes
OOTU_667,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_668,Stramenopila,Ochrophyta,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_669,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium ultimum ,,0,0,
OOTU_670,Stramenopila,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora aleatoria ,"Stramenopila-OEO_O116,p__Oomycota,c__Oomycetes,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_aleatoria",96.8,100,
OOTU_671,Viridiplantae,Anthophyta,Eudicotyledonae,Brassicales,Brassicaceae,Lepidium,Lepidium didymum ,,0,0,
OOTU_672,Alveolata,Ciliophora,Nassophorea,Nassulida,Nassulidae,Nassula,unidentified,,0,0,
OOTU_673,Viridiplantae,Anthophyta,Eudicotyledonae,Malvales,Malvaceae,Gossypium,Gossypium mustelinum ,,0,0,
OOTU_674,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium sp  ,,0,0,
OOTU_675,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Pythium,unidentified,,0,0,
OOTU_676,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_677,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Stephanosporaceae,unidentified,unidentified,,0,0,
OOTU_678,Fungi,Chytridiomycota,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_679,Fungi,Zoopagomycota,Zoopagomycetes,Zoopagales,unidentified,unidentified,unidentified,,0,0,
OOTU_680,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_681,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
